id,title,type,priority,effort,owner_role,sprint,start_date,end_date,status,dependencies,acceptance_criteria
AGRAR-ARCH-01,Modulrahmen aufsetzen,Story,P0,M,Fullstack,Sprint 1,2026-02-13,2026-02-27,Backlog,,modules/agrar Struktur vorhanden und registrierbar
AGRAR-ARCH-02,Event-/Hook-Verträge versionieren,Story,P0,M,Backend,Sprint 1,2026-02-13,2026-02-27,Backlog,AGRAR-ARCH-01,Versionierte Events mit Contract-Tests grün
AGRAR-ARCH-03,CI-Guardrails gegen Core-Kontamination,Story,P0,M,DevOps,Sprint 1,2026-02-13,2026-02-27,Backlog,AGRAR-ARCH-01,CI blockiert verbotene Core-Imports
AGRAR-WG-01,Wiegeschein-Datenmodell und CRUD,Story,P0,L,Backend,Sprint 2,2026-02-28,2026-03-20,Backlog,AGRAR-ARCH-01,Wiegeschein persistiert mit Audit-Trail und validierter API
AGRAR-CT-01,Kontrakte und Restmengenlogik,Story,P0,L,Backend,Sprint 2,2026-02-28,2026-03-20,Backlog,AGRAR-ARCH-02,Restmengen korrekt berechnet und Überbuchung verhindert
AGRAR-WG-UI-01,Wiegeschein-Erfassung UI ohne Mock,Story,P1,M,Frontend,Sprint 2,2026-02-28,2026-03-20,Backlog,AGRAR-WG-01,UI nutzt echte API mit sauberem Error-Handling
AGRAR-WG-02,Wiegeschein zu Kontraktlöschung atomar,Story,P0,M,Backend,Sprint 3,2026-03-21,2026-04-03,Backlog,AGRAR-WG-01|AGRAR-CT-01,Atomare Buchung mit Outbox-Events und Rollback
AGRAR-SILO-01,Sammelpartie und Qualitätsmittelwerte,Story,P0,L,Backend,Sprint 3,2026-03-21,2026-04-03,Backlog,AGRAR-WG-01,Siloqualität reproduzierbar aus Bewegungen berechnet
AGRAR-SILO-UI-01,Siloübersicht mit Qualitätssnapshot,Story,P1,M,Frontend,Sprint 3,2026-03-21,2026-04-03,Backlog,AGRAR-SILO-01,UI zeigt Füllstand und Qualitätskennzahlen pro Silo
AGRAR-SET-01,Self-Billing mit Abzügen,Story,P0,L,Backend,Sprint 4,2026-04-04,2026-04-17,Backlog,AGRAR-WG-02,Gutschrift erzeugt korrekte Fibu-Buchungen inklusive Abzüge
AGRAR-SET-02,Feuchte-/Schwund-Engine im Domain-Service,Story,P0,M,Backend,Sprint 4,2026-04-04,2026-04-17,Backlog,AGRAR-WG-01,Deterministische Abrechnungsgewichte mit Grenzwerttests
AGRAR-SET-UI-01,Gutschrift-Ansicht mit Abzugsnachweis,Story,P1,M,Frontend,Sprint 4,2026-04-04,2026-04-17,Backlog,AGRAR-SET-01,UI listet Abzüge transparent und prüfbar auf
AGRAR-COMP-01,Gefahrstoff- und Nährstoff-Export,Story,P0,M,Backend,Sprint 5,2026-04-18,2026-05-01,Backlog,AGRAR-SET-01,Exportdateien vollständig und fachlich plausibel
AGRAR-MIG-01,Backfill und idempotente Migration,Story,P0,M,Backend,Sprint 5,2026-04-18,2026-05-01,Backlog,AGRAR-WG-01|AGRAR-CT-01,Migration ohne Datenverlust mehrfach ausführbar
AGRAR-COMP-UI-01,Export- und Prüfprotokollseite,Story,P1,M,Frontend,Sprint 5,2026-04-18,2026-05-01,Backlog,AGRAR-COMP-01,UI zeigt Exportlauf und Prüfergebnis pro Lauf
AGRAR-UAT-01,3 E2E-Fachszenarien mit Key-Usern,Story,P0,M,QA,Sprint 6,2026-05-02,2026-05-14,Backlog,AGRAR-SET-01|AGRAR-COMP-01,UAT-Protokoll signiert und P1/P2 Findings geschlossen
AGRAR-PERF-01,Lasttest für Wiegeschein/Abrechnung/Eventbus,Story,P0,M,QA,Sprint 6,2026-05-02,2026-05-14,Backlog,AGRAR-WG-02,Lastziele erreicht und Engpässe dokumentiert
AGRAR-GO-01,Go-Live-Readiness und Rollback-Probe,Story,P0,M,DevOps,Sprint 6,2026-05-02,2026-05-14,Backlog,AGRAR-UAT-01|AGRAR-PERF-01,Go/No-Go dokumentiert und Rollback verifiziert
